Item ID,Title,Click potential,Feed label,Language,Item status,Channels,Issue title,Issue additional information,Traffic type,Country,Issue severity
superstitionmtn-acrylic-16x24,Superstitionmtn Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-16x24,Superstitionmtn Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-16x24,Superstitionmtn Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-16x24,Superstitionmtn Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
superstitionmtn-acrylic-16x24,Superstitionmtn Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
monument-costco-metal-20x40,Monument Costco Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
monument-costco-metal-20x40,Monument Costco Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
monument-costco-metal-20x40,Monument Costco Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
monument-costco-metal-20x40,Monument Costco Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
monument-costco-metal-20x40,Monument Costco Print - Metal 20x40,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
abstract-acrylic-16x24,Abstract Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
abstract-acrylic-16x24,Abstract Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
abstract-acrylic-16x24,Abstract Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
abstract-acrylic-16x24,Abstract Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
abstract-acrylic-16x24,Abstract Print - Acrylic 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-metal-16x24,Antelopecanyon Print - Metal 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Video Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-metal-16x24,Antelopecanyon Print - Metal 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Free listings,United States,SEVERITY_DISAPPROVED
antelopecanyon-metal-16x24,Antelopecanyon Print - Metal 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Shopping ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-metal-16x24,Antelopecanyon Print - Metal 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads,United States,SEVERITY_DISAPPROVED
antelopecanyon-metal-16x24,Antelopecanyon Print - Metal 16x24,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Unsupported image type,"Use an image in the accepted format (JPEG, PNG, GIF)",Discovery Ads Discover Surface,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x30,Buffalo Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Video Ads,United States,SEVERITY_DISAPPROVED
buffalo-acrylic-20x30,Buffalo Print - Acrylic 20x30,Available soon,US,en,NOT_ELIGIBLE_OR_DISAPPROVED,ONLINE,Image too big,Use an image that has a resolution less than 64 megapixels and file size smaller than 16MB,Free listings,United States,SEVERITY_DISAPPROVED
